product,piece,kg,l,ml,price_gel,kcal,fats,carbs,protein,kcal_per_package,fats_per_package,carbs_per_package,protein_per_package
"სოუსი ""ასტორია"" ცეზარი ყვითელი",0,0.2,0,0,3.95,310,30,10,1.5,620,60,20,3
"სოუსი ""ასტორია"" ბურგერის",0,0.2,0,0,3.95,400,40,10.5,0.5,800,80,21,1
"სოუსი ""ასტორია"" ტერიაკი",0,0.2,0,0,3.95,170,0.1,42,0.5,340,0.2,84,1
"სოუსი ""ასტორია"" ტკბილ-მჟავე",0,0.2,0,0,3.95,160,0.1,39,0.2,320,0.2,78,0.4
"სოუსი ""ჰეფი მამ"" სოიოს",0,0,0.5,0,5.5,65,0,12,4,325,0,60,20
"მდოგვი ""ლიდერ ფუდი""",0,0.05,0,0,0.75,182.8,10.3,3.8,18.7,91.4,5.15,1.9,9.35
"სოუსი ""ასტორია"" სენდვიჩის",0,0.2,0,0,3.95,380,38,9,0.6,760,76,18,1.2
"თაფლი ""თაფლი სახლში"" ცაცხვის და ყვავილების (პლ. ბოთ.)",0,0.4,0,0,9.95,304,0,82,0.3,1216,0,328,1.2
"თაფლი ""თაფლი სახლში"" ცაცხვის და ყვავილების",0,1,0,0,19.75,304,0,82,0.3,3040,0,820,3
"თაფლი ""ჰობი"" (პაკ)",0,0.4,0,0,10.75,308,0,78,0.4,1232,0,312,1.6
"თაფლი ""თაფლი სახლში"" ცაცხვის და ყვავილების",0,0.42,0,0,10.5,304,0,82,0.3,1276.8,0,344.4,1.26
მურაბა ჯოლოს,0,0.2,0,0,4.95,278,0.2,69,0.6,556,0.4,138,1.2
ფანტელი სიმინდის ”სტარტი” შოკოლადის ბურთები,0,0.15,0,0,3.95,349,3,71.3,7.6,523.5,4.5,106.95,11.4
ფანტელი სიმინდის ”სტარტი” შოკოლადის ბურთები,0,0.5,0,0,10.65,349,3,71.3,7.6,1745,15,356.5,38
ფანტელი სიმინდის ”სტარტი” დუო,0,0.5,0,0,9.95,374,3.1,78.2,7.1,1870,15.5,391,35.5
"ფანტელი სიმინდის ""სტარტი"" შოკოლადის ბალიშებით",0,0.5,0,0,10.75,467,18.6,66.6,6.8,2335,93,333,34
"ფანტელი სიმინდის ""სტარტი"" ნატურალური",0,0.5,0,0,10.95,337,1.1,72,7.5,1685,5.5,360,37.5
"ძეხვი ნედლად შებოლილი ""ლიდერ ფუდი"" ტოსკანა",0,0.4,0,0,7.6,344,25.16,1,29.36,1376,100.64,4,117.44
"სოსისი ""ბიუ ბიუ"" ივერია ქათმის",0,0.5,0,0,7.95,213,17,4,11,1065,85,20,55
"სოსისი ""ლიდერ ფუდი"" ივერია ტკაცუნა სპეცი",0,0.5,0,0,14.5,293,27.59,1,11.1,1465,137.95,5,55.5
"ძეხვი ნედლად შებოლილი ""პრემიო"" პეპერონი",0,0.26,0,0,18.95,423,41,0.5,13,1099.8,106.6,1.3,33.8
"ძეხვი ნედლად შებოლილი ""ლიდერ ფუდი"" ტოსკანა",0,0.3,0,0,19.95,344,25.16,1,29.36,1032,75.48,3,88.08
"ძეხვი ნედლად შებოლილი ""პრემიო"" ჩორიზო",0,0.26,0,0,18.95,371,35,1,13,964.6,91,2.6,33.8
"ძეხვი ნედლად შებოლილი ""პრემიო"" ჩორიზო",0,0.13,0,0,9.5,371,35,1,13,482.3,45.5,1.3,16.9
"ძეხვი ნედლად შებოლილი ""პრემიო"" პეპერონი",0,0.13,0,0,9.5,423,41,0.5,13,549.9,53.3,0.65,16.9
"ძეხვი ნედლად შებოლილი ""ლიდერ ფუდი"" პეპერონი",0,0.3,0,0,19.95,534,48.43,1,24.47,1602,145.29,3,73.41
"ძეხვი ნედლად შებოლილი ""ლიდერ ფუდი"" ნაპოლი",0,0.3,0,0,19.95,416,28.67,1,39.41,1248,86.01,3,118.23
"ძეხვი ნედლად შებოლილი ""ლიდერ ფუდი"" ნაპოლი",0,0.1,0,0,6.66,416,28.67,1,39.41,416,28.67,1,39.41
"ძეხვი ნედლად შებოლილი ""ლიდერ ფუდი"" პეპერონი",0,0.1,0,0,6.55,534,48.43,1,24.47,534,48.43,1,24.47
"ძეხვი მოხარშული ""ბიუ ბიუ"" საექიმო ქათმის",0,0.3,0,0,4.95,160,12,3,10,480,36,9,30
"ინდაურის პაშტეტი "" პროფი""",0,0.131,0,0,3.5,186,14,6.1,8.5,243.66,18.34,7.991,11.135
"სოსისი ""ლიდერ ფუდი"" დელიკატესი დე რომა",0,0.45,0,0,13.95,415.9,39.28,0.11,15.49,1871.55,176.76,0.495,69.705
